Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
167,"University of California, RiversideUnited StatesCoursesEnquire","20,901",22.6,13%,51:49:00
168,University of East AngliaUnited KingdomCoursesExplore,"13,997",13.9,28%,58:42:00
169,University of MassachusettsUnited StatesCoursesEnquire,"58,624",13.1,13%,49:51:00
170,Texas A&M UniversityUnited StatesCoursesExplore,"53,694",22.1,9%,47:53:00
171,University of CologneGermanyCoursesVerify Documents,"44,882",41.3,11%,61:39:00
172,University of GothenburgSwedenCoursesVerify Documents,"17,761",10.6,12%,n/a
173,University of LeicesterUnited KingdomCoursesEnquire,"14,179",12.5,36%,53:47:00
174,"Royal Holloway, University of LondonUnited KingdomCoursesEnquire","8,551",15.3,38%,58:42:00
175,University of WaterlooCanadaCoursesExplore,"31,776",24.8,15%,45:55:00
176,Pompeu Fabra UniversitySpainCoursesVerify Documents,"10,791",20.1,12%,59:41:00
177,Technical University of DenmarkDenmarkCoursesVerify Documents,"8,063",5.7,18%,27 : 73
178,Eindhoven University of TechnologyNetherlandsCoursesExplore,"10,015",19.4,14%,0.970833333
179,University of LuxembourgLuxembourgCourses,"5,219",17.2,55%,51:49:00
180,Paris-Sud UniversityFranceCourses,"26,642",14.1,17%,55:45:00
181,University of DundeeUnited KingdomCoursesEnquire,"11,266",14.7,24%,61:39:00
182,University of HamburgGermanyCoursesExplore,"37,501",46.7,11%,57:43:00
183,Cardiff UniversityUnited KingdomCoursesEnquire,"23,549",14.3,25%,56:44:00
184,University of MiamiUnited StatesCoursesEnquireAdmissions Support,"16,054",6,15%,51:49:00
185,Northeastern UniversityUnited StatesCoursesEnquireAdmissions Support,"18,368",14.5,28%,50:50:00
186,University of the WitwatersrandSouth AfricaCoursesExplore,"24,565",24.5,8%,56:44:00
187,Hebrew University of JerusalemIsraelCourses,"17,709",10.8,5%,57:43:00
188,University of WürzburgGermanyCourses,"22,297",33.5,8%,57:43:00
